META,PMID,CITATION,YEAR,TOTAL,R,C
CHANG 2018,23598373,Vallence et al105,2013,72.5,77,68
CHANG 2018,25183161,Kittelson et al41,2014,71.9,72.4,71.4
CHANG 2018,24529046,Marker et al51,2014,86.1,90,82.1
CHANG 2018,24664588,Rittig-Rasmussen et al73,2014,56.9,57.7,56
CHANG 2018,25900020,Bradman et al7,2016,56.8,61.5,52
CHANG 2018,25893342,Schabrun et al78,2017,43.5,43.5,43.5
CHANG 2018,25102290,Schabrun et al79,2015,76.5,77,76
CHANG 2018,25451624,Van Velzen et al101,2015,54.9,57.7,52
CHANG 2018,26871462,Burns et al8,2016,77.2,79.3,75
CHANG 2018,27471458,Caumo et al11,2016,54.3,62.1,46.4
CHANG 2018,27847987,Masse-Alarie et al52,2017,60.7,62.1,59.3
CHANG 2018,26708518,Masse-Alarie et al53,2016,66.7,69,64.3
CHANG 2018,26369282,Rio et al72,2016,58.9,57.7,60
CHANG 2018,27124022,Tarrago et al93,2016,62.3,69,55.6
CHANG 2018,28124436,Morgante et al60,2017,75.1,72.4,77.8
CHANG 2018,27258992,Parker et al66,2017,92.8,96.6,88.9
CHANG 2018,28340134,Te et al94,2017,77.1,75,79.2
BEAULIEU 2017,21071268,[33],2011,64.8,75.9,53.6
BEAULIEU 2017,23077645,[56],2012,53.6,65.4,41.7
BEAULIEU 2017,19135412,[31],2009,57.0,64,50
BEAULIEU 2017,21262510,[35],2011,39.8,46.2,33.3
BEAULIEU 2017,11716954,[57],2001,49.5,61.5,37.5
BEAULIEU 2017,17588673,[58],2007,47.6,57.7,37.5
BEAULIEU 2017,18588914,[55],2008,59.0,68,50
BEAULIEU 2017,12767485,[59],2003,52.5,62.1,42.9
BEAULIEU 2017,24246068,[60],2014,75.4,82.8,67.9
BEAULIEU 2017,23485621,[61],2013,48.9,57.7,40
BEAULIEU 2017,22695363,[62],2012,52.4,65.5,39.3
BEAULIEU 2017,22669201,[64],2012,46.7,60,33.3
BEAULIEU 2017,23842557,[63],2014,59.3,75,43.5
BEAULIEU 2017,9216492,[65],1997,41.9,56.5,27.3
BEAULIEU 2017,12534244,[66],2002,37.6,47.8,27.3
BEAULIEU 2017,25233245,[67],2014,33.1,43.5,22.7
BEAULIEU 2017,15354040,[32],2004,39.1,52,26.1
BEAULIEU 2017,15890159,[68],2004,44.3,52.2,36.4
BEAULIEU 2017,24887609,[69],2014,66.3,76,56.5
BEAULIEU 2017,24103535,[36],2014,72.0,73.1,70.8
BEAULIEU 2017,24792099,[70],2014,57.7,65.4,50
BEAULIEU 2017,18205080,[71],2008,49.4,64,34.8
BEAULIEU 2017,24084315,[77],2014,53.7,61.5,45.8
BEAULIEU 2017,11897538,[22],2002,70.0,79.3,60.7
BEAULIEU 2017,16564206,[72],2006,59.6,69.2,50
BEAULIEU 2017,22227444,[80],2012,59.6,65.5,53.6
BEAULIEU 2017,22883478,[73],2013,55.2,62.5,47.8
BEAULIEU 2017,26111434,[79],2015,57.8,65.5,50
BEAULIEU 2017,26388729,[3],2015,87.6,93.1,82.1
BEAULIEU 2017,27182973,[78],2016,41.6,53.9,29.2
BEAULIEU 2017,17431701,[74],2007,43.6,53.8,33.3
BEAULIEU 2017,23116812,[75],2013,40.7,48,33.3
BEAULIEU 2017,15261852,[76],2004,45.5,57.7,33.3
BEAULIEU 2017,23479092,[38],2013,28.0,34.5,21.4
BURNS 2016,22227117,Schabrun (2012),2012,89.0,87,91
BURNS 2016,12527318,Svensson (2003),2003,81.0,81,81
BURNS 2016,17134682,Del Santo (2007),2007,80.5,66,95
BURNS 2016,17884925,Martin (2008),2008,74.5,66,83
BURNS 2016,24815594,Rittig-Rasmussen (2014),2014,82.0,74,90
BURNS 2016,11056191,Romaniello (2000),2000,88.5,81,96
BURNS 2016,11514246,Le Pera (2001),2001,88.0,85,91
BURNS 2016,23357117,Schabrun (2013),2013,79.0,81,77
PARKER 2016,9708543,Afra (1998) [67],1998,48.0,NaN,NaN
PARKER 2016,18372292,Antal (2008) [68],2008,72.0,NaN,NaN
PARKER 2016,10570724,Aurora (1999) [56],1999,64.0,NaN,NaN
PARKER 2016,22659718,Badawy (2012) [69],2012,66.0,NaN,NaN
PARKER 2016,1526765,Bettucci (1992) [70],1992,52.0,NaN,NaN
PARKER 2016,15948565,Bramanti (2005) [71],2005,38.0,NaN,NaN
PARKER 2016,15480599,Brighina (2005) [57],2005,71.0,NaN,NaN
PARKER 2016,19438928,Brighina (2010) [72],2010,69.0,NaN,NaN
PARKER 2016,21530338,Brighina (2011) [59],2011,68.0,NaN,NaN
PARKER 2016,21781310,Clark (2011) [73],2011,64.0,NaN,NaN
PARKER 2016,19854575,Conte (2010) [60],2010,74.0,NaN,NaN
PARKER 2016,21521207,Cosentino (2011) [74],2011,62.0,NaN,NaN
PARKER 2016,24631596,Cosentino (2014) [75],2014,78.0,NaN,NaN
PARKER 2016,24822247,Cosentino (2014) [76],2014,64.0,NaN,NaN
PARKER 2016,25451628,Cosentino (2015) [77],2015,62.0,NaN,NaN
PARKER 2016,17574759,Curra (2007) [58],2007,50.0,NaN,NaN
PARKER 2016,15621369,Eisenberg (2005) [78],2005,72.0,NaN,NaN
PARKER 2016,25830271,Ekizoglu (2015) [79],2015,41.0,NaN,NaN
PARKER 2016,16583724,Gunaydin (2006) [80],2006,58.0,NaN,NaN
PARKER 2016,16530139,Khedr (2006) [81],2006,66.0,NaN,NaN
PARKER 2016,25183161,Kittelson (2014) [82],2014,72.0,NaN,NaN
PARKER 2016,15949240,Krause (2005) [83],2005,52.0,NaN,NaN
PARKER 2016,17101886,Lefaucheur (2006) [35],2006,69.0,NaN,NaN
PARKER 2016,1373363,Maertens de Noordhout (1992) [84],1992,58.0,NaN,NaN
PARKER 2016,21586651,Maier (2011) [85],2011,78.0,NaN,NaN
PARKER 2016,24529046,Marker (2014) [61],2014,91.0,NaN,NaN
PARKER 2016,22311467,Masse-Alarie (2012) [86],2012,58.0,NaN,NaN
PARKER 2016,20356675,Mhalla (2010) [64],2010,64.0,NaN,NaN
PARKER 2016,15375272,On (2004) [87],2004,50.0,NaN,NaN
PARKER 2016,12242552,Ozturk (2002) [88],2002,64.0,NaN,NaN
PARKER 2016,23693159,Pierelli (2013) [89],2013,62.0,NaN,NaN
PARKER 2016,10825705,Salerno (2000) [90],2000,53.0,NaN,NaN
PARKER 2016,12939426,Schwenkreis (2003) [91],2003,57.0,NaN,NaN
PARKER 2016,20540759,Schwenkreis (2010) [65],2010,57.0,NaN,NaN
PARKER 2016,17371353,Siniatchkin (2007) [63],2007,71.0,NaN,NaN
PARKER 2016,14642431,Strutton (2003) [92],2003,38.0,NaN,NaN
PARKER 2016,16189454,Strutton (2005) [62],2005,48.0,NaN,NaN
PARKER 2016,18669505,Tsao (2008) [24],2008,83.0,NaN,NaN
PARKER 2016,19922582,Turgut (2009) [93],2009,66.0,NaN,NaN
PARKER 2016,23598373,Vallence (2013) [94],2013,70.0,NaN,NaN
PARKER 2016,25451624,van Velzen (2015) [95],2015,66.0,NaN,NaN
PARKER 2016,24645677,Vidor (2014) [96],2014,71.0,NaN,NaN
PARKER 2016,10817446,Werhahn (2000) [97],2000,53.0,NaN,NaN
MAJOR 2015,11309450,Chistyakov et al 45,2001,76.7,NaN,NaN
MAJOR 2015,17762745,De Beaumont et al 18,2007,70.0,NaN,NaN
MAJOR 2015,19176544,De Beaumont et al 40,2009,56.7,NaN,NaN
MAJOR 2015,19176544,De Beaumont et al 47,2009,46.7,NaN,NaN
MAJOR 2015,22353982,Livingston et al 42,2012,56.7,NaN,NaN
MAJOR 2015,20433286,Livingston et al 43,2010,66.7,NaN,NaN
MAJOR 2015,24841536,Miller et al 39,2014,73.3,NaN,NaN
MAJOR 2015,24579780,Pearce et al 44,2014,80.0,NaN,NaN
MAJOR 2015,25104044,Pearce et al 53,2015,93.3,NaN,NaN
MAJOR 2015,24702432,Power et al 52,2014,73.3,NaN,NaN
MAJOR 2015,22103909,Tallus et al 46,2012,70.0,NaN,NaN
MAJOR 2015,21219259,Tremblay et al 48,2011,76.7,NaN,NaN
MAJOR 2015,24462505,Tremblay et al 49,2014,80.0,NaN,NaN
CORP 2014,19368842,Fujiyama et al. (2009),2009,66.7,NaN,NaN
CORP 2014,22257984,Fujiyama et al. (2012),2012,70.0,NaN,NaN
CORP 2014,19631693,Hiraga et al. (2009),2009,60.0,NaN,NaN
CORP 2014,19104788,Master and Tremblay (2009),2009,56.7,NaN,NaN
CORP 2014,22775302,Poston et al. (2012),2012,70.0,NaN,NaN
CORP 2014,15502976,Sohn et al. (2005),2005,56.7,NaN,NaN
CORP 2014,15722181,Sugawara et al. (2005),2005,50.0,NaN,NaN
CORP 2014,16596422,Takahashi et al. (2006),2006,56.7,NaN,NaN
CORP 2014,16977446,Tazoe et al. (2007a),2007,60.0,NaN,NaN
CORP 2014,17449319,Tazoe et al. (2007b),2007,60.0,NaN,NaN
CORP 2014,21408031,van den Berg et al. (2011),2011,80.0,NaN,NaN
PEARCE 2019,22596356,Bashir et al. [68],2012,57.7,NaN,NaN
PEARCE 2019,11309450,Christyakov et al. [22],2001,88.5,NaN,NaN
PEARCE 2019,27531393,Davidson et al. [74],2016,80.8,NaN,NaN
PEARCE 2019,17762745,De Beaumont et al. [24],2007,80.8,NaN,NaN
PEARCE 2019,21669091,De Beaumont et al. [79],2011,65.4,NaN,NaN
PEARCE 2019,19176544,De Beaumont et al. [63],2009,65.4,NaN,NaN
PEARCE 2019,21572090,De Beaumont et al. [77],2012,69.2,NaN,NaN
PEARCE 2019,27789273,Di Virgilio et al. [25],2016,80.8,NaN,NaN
PEARCE 2019,28657363,Edwards et al. [71],2017,57.7,NaN,NaN
PEARCE 2019,28081555,Lewis et al. [75],2017,88.5,NaN,NaN
PEARCE 2019,20433286,Livingston et al. [57],2010,65.4,NaN,NaN
PEARCE 2019,28144218,Meehan et al. [76],2017,96.2,NaN,NaN
PEARCE 2019,24841536,Miller et al. [69],2014,84.6,NaN,NaN
PEARCE 2019,25104044,Pearce et al. [11],2015,92.3,NaN,NaN
PEARCE 2019,24579780,Pearce et al. [64],2014,92.3,NaN,NaN
PEARCE 2019,29388850,Pearce et al. [65],2018,92.3,NaN,NaN
PEARCE 2019,31004695,Pearce et al. [62],2019,92.3,NaN,NaN
PEARCE 2019,24702432,Powers et al. [72],2014,84.6,NaN,NaN
PEARCE 2019,22103909,Tallus et al. [58],2012,80.8,NaN,NaN
PEARCE 2019,21219259,Tremblay et al. [78],2011,88.5,NaN,NaN
PEARCE 2019,24462505,Tremblay et al. [80],2014,92.3,NaN,NaN
PEARCE 2019,28509819,Yasen et al. [73],2017,88.5,NaN,NaN
OLIVEIRA 2021,22508405,Lefaucheur,2012,44.0,52,37
OLIVEIRA 2021,20471549,Antal,2010,81.0,85,78
OLIVEIRA 2021,30952795,Galhardoni,2019,48.0,56,41
OLIVEIRA 2021,24865417,Dall'Agnol,2014,59.0,63,56
OLIVEIRA 2021,25461825,Murray,2015,73.0,79,67
OLIVEIRA 2021,23579183,Jetté,2013,62.0,72,52
OLIVEIRA 2021,17101886,Lefaucheur,2006,64.0,72,55
OLIVEIRA 2021,31722404,Zhao,2020,54.0,56,52
OLIVEIRA 2021,29314454,Bocci,2018,38.0,39,36
